name,reasonClosure,kmeans_cluster,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,tsne_x,tsne_y,lda_reason_component_1,lda_reason_component_2,lda_reason_component_3,lda_reason_component_4,lda_reason_component_5,lda_reason_component_6
Urbana University,02,15,-0.7356669679862877,0.5387951972459373,0.6720501258521051,1.0729308912967825,0.2541836329824541,41.060303,-74.4403,-5.7203015766765235,-4.499874448439202,2.948129007004163,-2.471858594470933,-2.3326818621628567,4.809640040936395
UW Oshkosh - Fond du Lac Campus,01,14,-1.5881662436257553,0.509650777237849,-0.9079354274591531,-1.382283435982465,-2.3349602761291806,-78.1837,-146.5942,2.868339111493649,-11.188133683943542,-1.2567424964523994,-5.400486518942285,2.7838934688285706,-0.741089358809134
UW Green Bay - Marinette Campus,01,14,-1.5809079079447381,0.4788629855365668,-0.9215298101085759,-1.3753214306655825,-2.332433248670615,-137.81699,-132.98712,1.9271442437090893,-11.349756887731958,-0.8772667100909152,-5.498450136469392,2.71008823862181,-0.6901108263664698
UW Milwaukee - Waukesha Campus,1,14,-1.572756381718988,0.503059842845828,-0.5028238693533678,-1.571797709572417,-2.451599144579779,-192.79164,-114.13501,25.008674362357073,-27.658210312058834,-1.444502363178252,-0.42043880247649534,-2.8643705678166356,-0.06164284416052953
UW Milwaukee - Washington Campus,01,14,-1.5475786948059487,0.4689633767470361,-0.7459407051929173,-1.4709279084776261,-2.451714187787432,-65.99758,29.760693,1.633129478686391,-12.337994564160235,-1.7571942390530289,-1.7850943723600154,2.2534897372601317,-1.0363808620471648
Wave Leadership College,12,16,-2.0398547066524353,2.4668386642099103,-0.680182405252693,0.8529316341946579,0.612099491108769,-262.6329,93.689316,-29.2195596580411,-1.510524915665117,22.887706219607086,-0.8511389865572853,-3.742217974052478,-1.32871140503039
Wesley College,01,7,-4.6532237986481615,1.208438053053298,-1.5082278604693025,2.7236557129935455,0.3255928036407813,-370.76578,6.80515,1.5509909410901546,-10.275220449753073,-1.0151104416024697,-5.069644328747856,1.7133838005758857,-1.0053716558005177
Woodbury University,01,2,7.98675921813521,1.4666542267954639,0.2980923800455452,0.8948066864155902,-1.0158096892673643,347.03235,207.72481,0.16457537601001948,-12.544944546098835,-2.3051938992233634,-6.530250797603462,5.277842788222249,0.5488092274822901
Oak Point University,1,0,1.0369594433180778,-0.9285691260676782,-1.8850909147361212,-1.5447503699210947,1.6992777030203803,-9.063552,145.08392,23.374407031328385,-30.02627682849603,-1.4201220933417196,3.4520131584543177,-1.726634083656555,0.3580684946912997
Birmingham-Southern College,0,7,-3.9194523834831947,2.558886957566476,-0.4465819354359646,1.5183283581540146,1.1499651970630527,-299.51187,18.996235,-7.613448425379301,5.052645963408468,0.9954400493894113,2.764805530922755,5.037154314745106,0.39325116300239
Tulsa Community College at Owasso,1,7,-3.7327052074229607,3.453727411577851,1.8556493027171062,-0.26440011361044036,0.7606633557546691,-391.32455,97.43329,23.494255499015097,-29.531322214649315,-1.6185857247355626,3.260730472271785,-4.51856799190752,-0.31406361144139133
Wells College,0,5,2.871488878237181,-1.9866192875050541,0.1911715587704837,-0.7174760884796482,1.35270741378323,161.57695,234.77098,-6.511686268912681,5.633965231478074,0.722248135379592,1.8092219829958842,2.127586636751656,1.1817647693123243
Eastern Nazarene College,0,10,0.5611336077196598,-3.3102174057507634,-0.9363423388644967,-1.639388527983334,-1.0619429648409162,62.59931,58.01652,-7.604264701613396,5.68880390979003,1.9631972006039584,2.0164821218414093,2.3764356031949103,-0.3311516317526851
Cox College,0,1,-1.772784509941063,0.7183851117636612,0.0025014003381881545,-0.9268809760330822,-0.5124371681211127,-94.67559,-27.056244,-5.380942538897046,3.791087496124268,1.7579103558445877,1.6277188986880715,0.11819555200147151,-0.4168310049778295
University of Wisconsin–Platteville Richland,1,14,-1.6273356922923783,0.4727623313305224,-0.07691069835486714,-1.8151575461867662,-2.062183657363043,-181.93488,-183.9125,24.993868827870067,-27.92319696611726,-2.6507982731839332,3.2271398334665657,-2.1971753766568893,-0.4507836157975745
Maryland University of Integrative Health,3,16,-2.1726425798994913,1.9234524055280249,-1.3599712477417052,0.14206249643973473,0.8646649001044688,-221.67506,54.651646,-21.35824922374604,10.633361974491498,-7.89161637303313,-1.3189803418391879,-2.74917805760388,-0.4619457677974715
B. H. Carroll Theological Seminary,3,11,2.7235342018421798,5.5009173215084815,0.6003744954843853,1.7709514034655118,0.05772796081674164,406.3961,10.375051,-23.39845056987326,11.058393098929612,-7.4191612454581755,-0.8759877876734028,-3.7489191396472914,-0.5283636414911174
